scenario,latencyAvg,rps,latencyMax,latencyStdev,totalRequests,latency99,debit,timeout,read,write,connect,name,cpu_0,dram_0,cpu,dram,level,display_name,classification,database,language,os,framework,webserver,orm,platform,approach,status,5xx
db,0.04448,,0.048850000000000005,0.00246,216026.0,0.04811,1.57MB,,,,,tide,1346.981475830078,272.48711013793945,2520.798843383789,535.4741592407227,512.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
update,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,tide,473.1551361083984,108.88949584960938,831.9228515625,212.33996200561523,0.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
update,0.0446,,0.05765,0.0024700000000000004,215542.0,0.048119999999999996,1.59MB,,,,,tide,763.8658142089844,263.15059661865234,2196.878860473633,530.43359375,1.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
update,0.046630000000000005,,0.09036,0.00319,206144.0,0.0521,2.77MB,,,,,tide,995.1082916259766,257.37527084350586,2685.553237915039,523.6434059143066,5.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
update,0.06094,,0.17698,0.01059,157711.0,0.09199,3.31MB,,,,,tide,1064.1752166748047,259.7816848754883,2907.0616455078125,531.1909484863281,10.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
update,0.09115000000000001,,0.47600000000000003,0.03685,106202.0,0.20800000000000002,3.03MB,,,,,tide,915.5309600830078,270.9737243652344,2830.666244506836,553.154468536377,15.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
update,0.12135,,0.85556,0.05873,80277.0,0.30793000000000004,2.90MB,,,,,tide,1091.0074920654297,268.709171295166,2975.2832794189453,547.7125511169434,20.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
update,0.20604,,1.47,0.12425,48064.0,0.61194,2.46MB,,,,,tide,1914.7652130126955,270.2540779113769,2872.3551635742188,534.1917457580566,30.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
update,0.54916,,3.96,0.43027,18591.0,1.98,1.51MB,,,,,tide,1549.8982849121094,271.3621025085449,2821.283889770508,541.1314544677734,50.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
json,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,tide,447.4830474853516,100.97245025634766,799.7566375732422,198.2539176940918,0.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
json,0.0439,,0.048060000000000005,0.00207,7308.0,0.04411,53.00KB,,,,,tide,571.4125518798828,149.21490478515625,1005.040985107422,293.2500534057617,16.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
json,0.04395,,0.048170000000000004,0.00211,14612.0,0.047950000000000007,105.97KB,,,,,tide,613.5909881591797,179.17293167114258,1083.2356262207031,353.58445739746094,32.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
json,0.04398,,0.04836,0.00214,18235.0,0.047990000000000005,132.24KB,,,,,tide,752.0604095458984,190.5999412536621,1212.290771484375,375.8965911865234,64.0,tide,micro,postgres,rust,linux,tide,tide,full,rust,realistic,sucess,
